progress_id;project_id;wing_id;floor_id;flat_id;task_id;subtask_id;engineer_id;contractor_id;progress_status_id;progress_percent;start_date;reported_at;last_modified;completion_date;remarks;is_active
15;1;1;7;1;3;12;53;2;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
16;1;1;7;1;3;7;52;2;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
17;1;1;7;1;8;185;25;11;5;60.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
18;1;1;7;1;8;180;53;9;7;90.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
19;1;1;7;1;11;326;5;7;7;90.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
20;1;1;7;1;4;27;55;2;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
21;1;1;7;1;8;217;49;7;6;80.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
22;1;1;7;1;8;272;25;6;6;80.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
23;1;1;7;1;8;201;56;6;6;80.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
24;1;1;7;1;6;46;51;6;7;90.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
25;1;1;7;1;17;442;50;4;5;60.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
26;1;1;7;1;6;78;56;6;5;60.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
27;1;1;7;1;8;269;54;8;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
28;1;1;7;1;3;9;60;2;5;60.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
29;1;1;7;1;14;377;49;7;8;100.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";2024-01-01;"Auto-generated progress for flat 1, floor 1.";1
30;1;1;7;1;7;151;21;5;5;60.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
31;1;1;7;1;3;8;50;2;5;60.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
32;1;1;7;1;8;193;58;9;8;100.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";2024-01-01;"Auto-generated progress for flat 1, floor 1.";1
33;1;1;7;1;8;254;17;2;5;60.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
34;1;1;7;1;16;392;48;5;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
35;1;1;7;1;17;445;55;4;8;100.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";2024-01-03;"Auto-generated progress for flat 1, floor 1.";1
36;1;1;7;1;16;400;52;5;8;100.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";2024-01-01;"Auto-generated progress for flat 1, floor 1.";1
37;1;1;7;1;16;415;15;5;5;60.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
38;1;1;7;1;18;453;3;11;8;100.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";2024-01-07;"Auto-generated progress for flat 1, floor 1.";1
39;1;1;7;1;3;10;3;2;8;100.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";2024-01-10;"Auto-generated progress for flat 1, floor 1.";1
40;1;1;7;1;5;43;50;4;6;80.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
41;1;1;7;1;7;155;19;5;5;60.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
42;1;1;7;1;6;109;55;6;8;100.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";2024-01-10;"Auto-generated progress for flat 1, floor 1.";1
43;1;1;7;1;6;103;60;6;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
44;1;1;7;1;13;361;50;1;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
45;1;1;7;1;7;128;59;5;5;60.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
46;1;1;7;1;6;57;5;6;5;60.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
47;1;1;7;1;11;347;49;5;7;90.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
48;1;1;7;1;6;51;54;6;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
49;1;1;7;1;8;264;52;4;8;100.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";2024-01-05;"Auto-generated progress for flat 1, floor 1.";1
50;1;1;7;1;8;301;55;9;8;100.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";2024-01-08;"Auto-generated progress for flat 1, floor 1.";1
51;1;1;7;1;8;277;61;3;5;60.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
52;1;1;7;1;14;375;21;11;5;60.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
53;1;1;7;1;8;236;3;5;8;100.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";2024-01-08;"Auto-generated progress for flat 1, floor 1.";1
54;1;1;7;1;16;410;55;5;7;90.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
55;1;1;7;1;7;144;15;5;7;90.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
56;1;1;7;1;11;329;21;8;5;60.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
57;1;1;7;1;17;450;5;4;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
58;1;1;7;1;8;276;49;3;5;60.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
59;1;1;7;1;7;149;52;5;6;80.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
60;1;1;7;1;16;439;58;5;6;80.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
61;1;1;7;1;6;80;62;6;6;80.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
62;1;1;7;1;8;229;21;10;7;90.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
63;1;1;7;1;11;327;5;9;5;60.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
64;1;1;7;1;6;107;54;6;6;80.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
65;1;1;7;1;8;238;50;9;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
66;1;1;7;1;14;378;55;5;7;90.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
67;1;1;7;1;5;40;54;4;5;60.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
68;1;1;7;1;8;234;61;9;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
69;1;1;7;1;16;419;57;5;8;100.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";2024-01-05;"Auto-generated progress for flat 1, floor 1.";1
70;1;1;7;1;7;147;60;5;5;60.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
71;1;1;7;1;6;86;57;6;8;100.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";2024-01-03;"Auto-generated progress for flat 1, floor 1.";1
72;1;1;7;1;6;63;25;6;6;80.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
73;1;1;7;1;4;26;50;2;8;100.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";2024-01-07;"Auto-generated progress for flat 1, floor 1.";1
74;1;1;7;1;6;81;5;6;7;90.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
75;1;1;7;1;6;114;60;6;5;60.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
76;1;1;7;1;17;452;60;4;8;100.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";2024-01-06;"Auto-generated progress for flat 1, floor 1.";1
77;1;1;7;1;12;358;5;6;6;80.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
78;1;1;7;1;8;251;25;1;6;80.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
79;1;1;7;1;16;413;25;5;5;60.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
80;1;1;7;1;8;194;60;7;6;80.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
81;1;1;7;1;8;219;14;6;7;90.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
82;1;1;7;1;6;105;62;6;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
83;1;1;7;1;8;205;58;6;6;80.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
84;1;1;7;1;8;245;5;7;6;80.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
85;1;1;7;1;8;196;62;11;6;80.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
86;1;1;7;1;4;25;57;2;7;90.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
87;1;1;7;1;10;314;62;10;7;90.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
88;1;1;7;1;6;88;51;6;7;90.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
89;1;1;7;1;15;387;60;7;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
90;1;1;7;1;7;127;3;5;7;90.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
91;1;1;7;1;6;49;57;6;8;100.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";2024-01-03;"Auto-generated progress for flat 1, floor 1.";1
92;1;1;7;1;8;171;25;11;7;90.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
93;1;1;7;1;17;448;78;4;6;80.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
94;1;1;7;1;10;322;58;9;5;60.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
95;1;1;7;1;8;271;52;3;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
96;1;1;7;1;8;216;56;5;5;60.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
97;1;1;7;1;11;330;14;10;6;80.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
98;1;1;7;1;11;328;60;1;7;90.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
99;1;1;7;1;8;255;14;9;7;90.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
100;1;1;7;1;6;54;62;6;6;80.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
101;1;1;7;1;8;197;62;2;8;100.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";2024-01-05;"Auto-generated progress for flat 1, floor 1.";1
102;1;1;7;1;8;256;59;10;7;90.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
103;1;1;7;1;8;283;56;3;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
104;1;1;7;1;8;211;52;7;7;90.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
105;1;1;7;1;4;31;51;2;8;100.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";2024-01-01;"Auto-generated progress for flat 1, floor 1.";1
106;1;1;7;1;10;317;58;6;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
107;1;1;7;1;16;393;59;5;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
108;1;1;7;1;6;111;59;6;5;60.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
109;1;1;7;1;16;396;51;5;6;80.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
110;1;1;7;1;11;345;19;3;6;80.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
111;1;1;7;1;8;213;55;1;5;60.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
112;1;1;7;1;6;94;50;6;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
113;1;1;7;1;6;74;25;6;5;60.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
114;1;1;7;1;7;142;19;5;8;100.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";2024-01-10;"Auto-generated progress for flat 1, floor 1.";1
115;1;1;7;1;12;348;53;2;7;90.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
116;1;1;7;1;5;42;62;4;8;100.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";2024-01-10;"Auto-generated progress for flat 1, floor 1.";1
117;1;1;7;1;4;28;17;2;5;60.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
118;1;1;7;1;8;299;54;8;8;100.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";2024-01-04;"Auto-generated progress for flat 1, floor 1.";1
119;1;1;7;1;9;306;58;9;5;60.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
120;1;1;7;1;8;226;53;1;5;60.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
121;1;1;7;1;6;62;14;6;6;80.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
122;1;1;7;1;8;278;21;8;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
123;1;1;7;1;10;319;48;10;8;100.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";2024-01-10;"Auto-generated progress for flat 1, floor 1.";1
124;1;1;7;1;8;225;5;4;7;90.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
125;1;1;7;1;15;383;55;10;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
126;1;1;7;1;11;336;56;9;8;100.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";2024-01-06;"Auto-generated progress for flat 1, floor 1.";1
127;1;1;7;1;6;52;17;6;6;80.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
128;1;1;7;1;11;324;49;7;6;80.00;2024-01-03;"2024-01-03 10:00:00";"2024-01-03 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
129;1;1;7;1;16;404;49;5;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
130;1;1;7;1;7;133;60;5;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
131;1;1;7;1;3;15;53;2;7;90.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
132;1;1;7;1;8;190;17;4;7;90.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
133;1;1;7;1;8;176;62;10;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
134;1;1;7;1;8;249;53;6;8;100.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";2024-01-04;"Auto-generated progress for flat 1, floor 1.";1
135;1;1;7;1;3;18;15;2;8;100.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";2024-01-04;"Auto-generated progress for flat 1, floor 1.";1
136;1;1;7;1;7;125;51;5;7;90.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
137;1;1;7;1;8;258;17;8;8;100.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";2024-01-04;"Auto-generated progress for flat 1, floor 1.";1
138;1;1;7;1;8;172;78;4;6;80.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
139;1;1;7;1;7;160;58;5;7;90.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
140;1;1;7;1;13;360;17;11;6;80.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
141;1;1;7;1;8;231;58;4;6;80.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
142;1;1;7;1;6;113;17;6;7;90.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
143;1;1;7;1;16;402;58;5;6;80.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
144;1;1;7;1;8;281;52;4;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
145;1;1;7;1;18;455;58;11;5;60.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
146;1;1;7;1;7;132;61;5;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
147;1;1;7;1;8;246;50;7;5;60.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
148;1;1;7;1;9;308;58;6;7;90.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
149;1;1;7;1;8;286;55;7;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
150;1;1;7;1;6;98;25;6;7;90.00;2024-01-01;"2024-01-01 10:00:00";"2024-01-01 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
151;1;1;7;1;8;253;61;5;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
152;1;1;7;1;6;56;55;6;7;90.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
153;1;1;7;1;8;227;51;2;8;100.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";2024-01-09;"Auto-generated progress for flat 1, floor 1.";1
154;1;1;7;1;16;411;61;5;8;100.00;2024-01-05;"2024-01-05 10:00:00";"2024-01-05 10:00:00";2024-01-05;"Auto-generated progress for flat 1, floor 1.";1
155;1;1;7;1;16;430;55;5;8;100.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";2024-01-07;"Auto-generated progress for flat 1, floor 1.";1
156;1;1;7;1;13;369;25;7;7;90.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
157;1;1;7;1;12;354;15;3;8;100.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";2024-01-07;"Auto-generated progress for flat 1, floor 1.";1
158;1;1;7;1;8;239;78;3;6;80.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
159;1;1;7;1;6;104;59;6;5;60.00;2024-01-06;"2024-01-06 10:00:00";"2024-01-06 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
