txn_id;material_id;txn_date;transaction_type;reference_no;unit;received_qty;issued_qty;unit_rate;tax_percent;total_cost;work_description;remarks;is_active;created_at;updated_at;project_id;wing_id;floor_id;contractor_id;engineer_id
28;46;2025-04-14;RECEIPT;RC-2504-0001;NOS;63.97;0.00;316.00;18.00;20214.52;"Site use - Floor 8";"Auto-generated transaction seed data";1;"2025-04-14 09:00:00";"2025-11-22 18:00:00";1;1;8;1;59
29;52;2025-02-07;ISSUE;IS-2502-0001;NOS;0.00;5.26;352.00;18.00;1851.52;"Electrical works - Floor 16";"Auto-generated transaction seed data";1;"2025-02-07 09:00:00";"2025-11-22 18:00:00";1;1;16;4;54
30;54;2025-09-07;ISSUE;IS-2509-0002;MTR;0.00;57.02;182.00;18.00;10377.64;"Electrical works - Floor 22";"Auto-generated transaction seed data";1;"2025-09-07 09:00:00";"2025-11-22 18:00:00";1;1;22;4;50
31;34;2024-02-11;GATE-IN;GI-2402-0001;LTR;91.33;0.00;122.00;18.00;11142.26;"Waterproofing works - Floor 20";"Auto-generated transaction seed data";1;"2024-02-11 09:00:00";"2025-11-22 18:00:00";1;1;20;6;48
32;52;2025-09-03;ISSUE;IS-2509-0003;NOS;0.00;49.21;352.00;18.00;17321.92;"Electrical works - Floor 13";"Auto-generated transaction seed data";1;"2025-09-03 09:00:00";"2025-11-22 18:00:00";1;1;13;4;48
33;10;2025-09-03;RECEIPT;RC-2509-0001;BRASS;39.56;0.00;100.00;18.00;3956.00;"Site use - Floor 35";"Auto-generated transaction seed data";1;"2025-09-03 09:00:00";"2025-11-22 18:00:00";1;1;35;9;49
34;74;2024-08-27;ISSUE;IS-2408-0001;LTR;0.00;16.43;242.00;18.00;3976.06;"Finishing works - Floor 10";"Auto-generated transaction seed data";1;"2024-08-27 09:00:00";"2025-11-22 18:00:00";1;1;10;11;50
35;54;2024-12-30;ISSUE;IS-2412-0002;MTR;0.00;59.85;182.00;18.00;10892.70;"Electrical works - Floor 13";"Auto-generated transaction seed data";1;"2024-12-30 09:00:00";"2025-11-22 18:00:00";1;1;13;4;59
36;8;2025-05-27;ISSUE;IS-2505-0002;NOS;0.00;4.25;88.00;18.00;374.00;"Site use - Floor 25";"Auto-generated transaction seed data";1;"2025-05-27 09:00:00";"2025-11-22 18:00:00";1;1;25;9;56
37;53;2024-09-13;ISSUE;IS-2409-0001;MTR;0.00;11.08;179.00;18.00;1983.32;"Electrical works - Floor 7";"Auto-generated transaction seed data";1;"2024-09-13 09:00:00";"2025-11-22 18:00:00";1;1;7;4;50
38;29;2024-08-17;RECEIPT;RC-2408-0001;KG;25.04;0.00;107.00;18.00;2679.28;"Site use - Floor 28";"Auto-generated transaction seed data";1;"2024-08-17 09:00:00";"2025-11-22 18:00:00";1;1;28;1;56
39;51;2025-07-02;RECEIPT;RC-2507-0003;NOS;95.98;0.00;346.00;18.00;33209.08;"Electrical works - Floor 7";"Auto-generated transaction seed data";1;"2025-07-02 09:00:00";"2025-11-22 18:00:00";1;1;7;4;50
40;54;2025-01-07;ISSUE;IS-2501-0003;MTR;0.00;14.03;182.00;18.00;2553.46;"Electrical works - Floor 22";"Auto-generated transaction seed data";1;"2025-01-07 09:00:00";"2025-11-22 18:00:00";1;1;22;4;54
41;15;2024-02-22;ISSUE;IS-2402-0002;NOS;0.00;7.65;130.00;18.00;994.50;"BBM work - Floor 8";"Auto-generated transaction seed data";1;"2024-02-22 09:00:00";"2025-11-22 18:00:00";1;1;8;1;56
42;10;2025-08-24;ISSUE;IS-2508-0001;BRASS;0.00;50.61;100.00;18.00;5061.00;"Site use - Floor 21";"Auto-generated transaction seed data";1;"2025-08-24 09:00:00";"2025-11-22 18:00:00";1;1;21;9;61
43;55;2024-01-05;RECEIPT;RC-2401-0001;NOS;81.04;0.00;370.00;18.00;29984.80;"Electrical works - Floor 18";"Auto-generated transaction seed data";1;"2024-01-05 09:00:00";"2025-11-22 18:00:00";1;1;18;4;62
44;10;2024-12-16;RECEIPT;RC-2412-0001;BRASS;89.83;0.00;100.00;18.00;8983.00;"Site use - Floor 36";"Auto-generated transaction seed data";1;"2024-12-16 09:00:00";"2025-11-22 18:00:00";1;1;36;9;49
45;65;2025-04-22;ISSUE;IS-2504-0001;NOS;0.00;52.77;430.00;18.00;22691.10;"Site use - Floor 23";"Auto-generated transaction seed data";1;"2025-04-22 09:00:00";"2025-11-22 18:00:00";1;1;23;10;50
46;51;2025-08-24;ISSUE;IS-2508-0002;NOS;0.00;44.31;346.00;18.00;15331.26;"Electrical works - Floor 19";"Auto-generated transaction seed data";1;"2025-08-24 09:00:00";"2025-11-22 18:00:00";1;1;19;4;56
47;66;2025-09-30;GATE-IN;GI-2509-0001;NOS;58.72;0.00;436.00;18.00;25601.92;"Site use - Floor 36";"Auto-generated transaction seed data";1;"2025-09-30 09:00:00";"2025-11-22 18:00:00";1;1;36;10;59
48;52;2025-01-22;RECEIPT;RC-2501-0001;NOS;44.79;0.00;352.00;18.00;15766.08;"Electrical works - Floor 15";"Auto-generated transaction seed data";1;"2025-01-22 09:00:00";"2025-11-22 18:00:00";1;1;15;4;62
49;53;2025-10-28;GATE-IN;GI-2510-0001;MTR;14.33;0.00;179.00;18.00;2565.07;"Electrical works - Floor 34";"Auto-generated transaction seed data";1;"2025-10-28 09:00:00";"2025-11-22 18:00:00";1;1;34;4;49
50;54;2024-01-14;ISSUE;IS-2401-0002;MTR;0.00;26.53;182.00;18.00;4828.46;"Electrical works - Floor 33";"Auto-generated transaction seed data";1;"2024-01-14 09:00:00";"2025-11-22 18:00:00";1;1;33;4;62
51;55;2024-03-10;ISSUE;IS-2403-0001;NOS;0.00;48.53;370.00;18.00;17956.10;"Electrical works - Floor 13";"Auto-generated transaction seed data";1;"2024-03-10 09:00:00";"2025-11-22 18:00:00";1;1;13;4;59
52;51;2024-05-05;ISSUE;IS-2405-0003;NOS;0.00;47.05;346.00;18.00;16279.30;"Electrical works - Floor 17";"Auto-generated transaction seed data";1;"2024-05-05 09:00:00";"2025-11-22 18:00:00";1;1;17;4;50
53;51;2024-10-01;ISSUE;IS-2410-0002;NOS;0.00;30.32;346.00;18.00;10490.72;"Electrical works - Floor 29";"Auto-generated transaction seed data";1;"2024-10-01 09:00:00";"2025-11-22 18:00:00";1;1;29;4;48
54;53;2024-04-26;ISSUE;IS-2404-0002;MTR;0.00;27.83;179.00;18.00;4981.57;"Electrical works - Floor 19";"Auto-generated transaction seed data";1;"2024-04-26 09:00:00";"2025-11-22 18:00:00";1;1;19;4;54
55;55;2024-06-14;ISSUE;IS-2406-0003;NOS;0.00;41.82;370.00;18.00;15473.40;"Electrical works - Floor 20";"Auto-generated transaction seed data";1;"2024-06-14 09:00:00";"2025-11-22 18:00:00";1;1;20;4;50
56;55;2024-01-08;ISSUE;IS-2401-0003;NOS;0.00;40.21;370.00;18.00;14877.70;"Electrical works - Floor 18";"Auto-generated transaction seed data";1;"2024-01-08 09:00:00";"2025-11-22 18:00:00";1;1;18;4;50
57;55;2025-04-01;ISSUE;IS-2504-0002;NOS;0.00;10.02;370.00;18.00;3707.40;"Electrical works - Floor 13";"Auto-generated transaction seed data";1;"2025-04-01 09:00:00";"2025-11-22 18:00:00";1;1;13;4;56
58;53;2025-07-02;ISSUE;IS-2507-0002;MTR;0.00;24.11;179.00;18.00;4315.69;"Electrical works - Floor 9";"Auto-generated transaction seed data";1;"2025-07-02 09:00:00";"2025-11-22 18:00:00";1;1;9;4;50
59;10;2024-09-14;ISSUE;IS-2409-0002;BRASS;0.00;2.40;100.00;18.00;240.00;"Site use - Floor 15";"Auto-generated transaction seed data";1;"2024-09-14 09:00:00";"2025-11-22 18:00:00";1;1;15;9;48
60;29;2025-06-23;ISSUE;IS-2506-0003;KG;0.00;25.66;107.00;18.00;2745.62;"Site use - Floor 22";"Auto-generated transaction seed data";1;"2025-06-23 09:00:00";"2025-11-22 18:00:00";1;1;22;1;56
61;55;2024-09-04;RECEIPT;RC-2409-0001;NOS;34.73;0.00;370.00;18.00;12850.10;"Electrical works - Floor 18";"Auto-generated transaction seed data";1;"2024-09-04 09:00:00";"2025-11-22 18:00:00";1;1;18;4;55
62;53;2025-04-26;RECEIPT;RC-2504-0002;MTR;55.65;0.00;179.00;18.00;9961.35;"Electrical works - Floor 23";"Auto-generated transaction seed data";1;"2025-04-26 09:00:00";"2025-11-22 18:00:00";1;1;23;4;56
63;53;2024-08-29;ISSUE;IS-2408-0002;MTR;0.00;57.47;179.00;18.00;10287.13;"Electrical works - Floor 14";"Auto-generated transaction seed data";1;"2024-08-29 09:00:00";"2025-11-22 18:00:00";1;1;14;4;61
64;2;2024-10-10;RECEIPT;RC-2410-0001;BAGS;6.09;0.00;26.00;18.00;158.34;"Plaster / mortar - Floor 24";"Auto-generated transaction seed data";1;"2024-10-10 09:00:00";"2025-11-22 18:00:00";1;1;24;9;62
65;72;2025-01-13;ISSUE;IS-2501-0004;SQFT;0.00;42.18;354.00;18.00;14931.72;"Site use - Floor 8";"Auto-generated transaction seed data";1;"2025-01-13 09:00:00";"2025-11-22 18:00:00";1;1;8;10;62
66;55;2024-12-19;ISSUE;IS-2412-0003;NOS;0.00;21.04;370.00;18.00;7784.80;"Electrical works - Floor 22";"Auto-generated transaction seed data";1;"2024-12-19 09:00:00";"2025-11-22 18:00:00";1;1;22;4;56
67;52;2024-11-01;RECEIPT;RC-2411-0001;NOS;44.21;0.00;352.00;18.00;15561.92;"Electrical works - Floor 17";"Auto-generated transaction seed data";1;"2024-11-01 09:00:00";"2025-11-22 18:00:00";1;1;17;4;62
68;10;2025-06-18;RECEIPT;RC-2506-0002;BRASS;13.96;0.00;100.00;18.00;1396.00;"Site use - Floor 13";"Auto-generated transaction seed data";1;"2025-06-18 09:00:00";"2025-11-22 18:00:00";1;1;13;9;55
69;10;2024-05-07;ISSUE;IS-2405-0004;BRASS;0.00;50.20;100.00;18.00;5020.00;"Site use - Floor 24";"Auto-generated transaction seed data";1;"2024-05-07 09:00:00";"2025-11-22 18:00:00";1;1;24;9;50
70;51;2025-07-14;ISSUE;IS-2507-0003;NOS;0.00;39.68;346.00;18.00;13729.28;"Electrical works - Floor 12";"Auto-generated transaction seed data";1;"2025-07-14 09:00:00";"2025-11-22 18:00:00";1;1;12;4;55
71;52;2024-10-11;ISSUE;IS-2410-0003;NOS;0.00;40.05;352.00;18.00;14097.60;"Electrical works - Floor 19";"Auto-generated transaction seed data";1;"2024-10-11 09:00:00";"2025-11-22 18:00:00";1;1;19;4;50
72;54;2025-05-28;RECEIPT;RC-2505-0001;MTR;88.47;0.00;182.00;18.00;16101.54;"Electrical works - Floor 19";"Auto-generated transaction seed data";1;"2025-05-28 09:00:00";"2025-11-22 18:00:00";1;1;19;4;59
73;51;2024-06-30;ISSUE;IS-2406-0004;NOS;0.00;5.98;346.00;18.00;2069.08;"Electrical works - Floor 15";"Auto-generated transaction seed data";1;"2024-06-30 09:00:00";"2025-11-22 18:00:00";1;1;15;4;55
74;47;2025-04-03;RECEIPT;RC-2504-0003;MTR;19.70;0.00;161.00;18.00;3171.70;"Electrical works - Floor 11";"Auto-generated transaction seed data";1;"2025-04-03 09:00:00";"2025-11-22 18:00:00";1;1;11;4;62
75;8;2025-01-23;ISSUE;IS-2501-0005;NOS;0.00;37.54;88.00;18.00;3303.52;"Site use - Floor 16";"Auto-generated transaction seed data";1;"2025-01-23 09:00:00";"2025-11-22 18:00:00";1;1;16;9;50
76;1;2025-01-30;ISSUE;IS-2501-0006;BAGS;0.00;9.38;23.00;18.00;215.74;"Plaster / mortar - Floor 32";"Auto-generated transaction seed data";1;"2025-01-30 09:00:00";"2025-11-22 18:00:00";1;1;32;9;61
77;53;2024-12-16;RECEIPT;RC-2412-0002;MTR;11.32;0.00;179.00;18.00;2026.28;"Electrical works - Floor 8";"Auto-generated transaction seed data";1;"2024-12-16 09:00:00";"2025-11-22 18:00:00";1;1;8;4;62
78;55;2024-05-09;ISSUE;IS-2405-0005;NOS;0.00;29.69;370.00;18.00;10985.30;"Electrical works - Floor 11";"Auto-generated transaction seed data";1;"2024-05-09 09:00:00";"2025-11-22 18:00:00";1;1;11;4;55
79;54;2024-04-11;ISSUE;IS-2404-0003;MTR;0.00;46.16;182.00;18.00;8401.12;"Electrical works - Floor 24";"Auto-generated transaction seed data";1;"2024-04-11 09:00:00";"2025-11-22 18:00:00";1;1;24;4;62
80;1;2025-02-26;RECEIPT;RC-2502-0001;BAGS;22.06;0.00;23.00;18.00;507.38;"Plaster / mortar - Floor 9";"Auto-generated transaction seed data";1;"2025-02-26 09:00:00";"2025-11-22 18:00:00";1;1;9;9;61
81;10;2024-08-26;ISSUE;IS-2408-0003;BRASS;0.00;17.02;100.00;18.00;1702.00;"Site use - Floor 13";"Auto-generated transaction seed data";1;"2024-08-26 09:00:00";"2025-11-22 18:00:00";1;1;13;9;55
82;54;2024-10-08;RECEIPT;RC-2410-0002;MTR;39.32;0.00;182.00;18.00;7156.24;"Electrical works - Floor 36";"Auto-generated transaction seed data";1;"2024-10-08 09:00:00";"2025-11-22 18:00:00";1;1;36;4;54
83;54;2024-04-23;ISSUE;IS-2404-0004;MTR;0.00;21.83;182.00;18.00;3973.06;"Electrical works - Floor 35";"Auto-generated transaction seed data";1;"2024-04-23 09:00:00";"2025-11-22 18:00:00";1;1;35;4;48
84;51;2025-05-04;RECEIPT;RC-2505-0002;NOS;31.12;0.00;346.00;18.00;10767.52;"Electrical works - Floor 22";"Auto-generated transaction seed data";1;"2025-05-04 09:00:00";"2025-11-22 18:00:00";1;1;22;4;61
85;53;2024-01-30;ISSUE;IS-2401-0004;MTR;0.00;8.41;179.00;18.00;1505.39;"Electrical works - Floor 7";"Auto-generated transaction seed data";1;"2024-01-30 09:00:00";"2025-11-22 18:00:00";1;1;7;4;56
86;10;2024-03-27;ISSUE;IS-2403-0002;BRASS;0.00;3.24;100.00;18.00;324.00;"Site use - Floor 12";"Auto-generated transaction seed data";1;"2024-03-27 09:00:00";"2025-11-22 18:00:00";1;1;12;9;50
87;57;2025-09-26;ISSUE;IS-2509-0004;NOS;0.00;53.08;382.00;18.00;20276.56;"Electrical works - Floor 12";"Auto-generated transaction seed data";1;"2025-09-26 09:00:00";"2025-11-22 18:00:00";1;1;12;4;50
88;53;2024-03-19;ISSUE;IS-2403-0003;MTR;0.00;57.34;179.00;18.00;10263.86;"Electrical works - Floor 13";"Auto-generated transaction seed data";1;"2024-03-19 09:00:00";"2025-11-22 18:00:00";1;1;13;4;59
89;52;2024-09-13;RECEIPT;RC-2409-0002;NOS;55.38;0.00;352.00;18.00;19493.76;"Electrical works - Floor 26";"Auto-generated transaction seed data";1;"2024-09-13 09:00:00";"2025-11-22 18:00:00";1;1;26;4;48
90;10;2024-09-26;RECEIPT;RC-2409-0003;BRASS;7.38;0.00;100.00;18.00;738.00;"Site use - Floor 17";"Auto-generated transaction seed data";1;"2024-09-26 09:00:00";"2025-11-22 18:00:00";1;1;17;9;62
91;55;2024-04-13;RECEIPT;RC-2404-0001;NOS;93.73;0.00;370.00;18.00;34680.10;"Electrical works - Floor 19";"Auto-generated transaction seed data";1;"2024-04-13 09:00:00";"2025-11-22 18:00:00";1;1;19;4;56
92;54;2025-05-20;ISSUE;IS-2505-0003;MTR;0.00;7.77;182.00;18.00;1414.14;"Electrical works - Floor 8";"Auto-generated transaction seed data";1;"2025-05-20 09:00:00";"2025-11-22 18:00:00";1;1;8;4;62
93;55;2024-08-26;ISSUE;IS-2408-0004;NOS;0.00;18.00;370.00;18.00;6660.00;"Electrical works - Floor 13";"Auto-generated transaction seed data";1;"2024-08-26 09:00:00";"2025-11-22 18:00:00";1;1;13;4;48
94;51;2024-05-16;RECEIPT;RC-2405-0001;NOS;68.30;0.00;346.00;18.00;23631.80;"Electrical works - Floor 13";"Auto-generated transaction seed data";1;"2024-05-16 09:00:00";"2025-11-22 18:00:00";1;1;13;4;48
95;37;2024-08-24;ISSUE;IS-2408-0005;MTR;0.00;25.51;131.00;18.00;3341.81;"Plumbing installation - Floor 18";"Auto-generated transaction seed data";1;"2024-08-24 09:00:00";"2025-11-22 18:00:00";1;1;18;5;56
96;51;2024-08-22;ISSUE;IS-2408-0006;NOS;0.00;17.26;346.00;18.00;5971.96;"Electrical works - Floor 17";"Auto-generated transaction seed data";1;"2024-08-22 09:00:00";"2025-11-22 18:00:00";1;1;17;4;48
97;53;2025-02-23;RECEIPT;RC-2502-0002;MTR;84.29;0.00;179.00;18.00;15087.91;"Electrical works - Floor 12";"Auto-generated transaction seed data";1;"2025-02-23 09:00:00";"2025-11-22 18:00:00";1;1;12;4;62
98;55;2025-07-18;RECEIPT;RC-2507-0004;NOS;61.90;0.00;370.00;18.00;22903.00;"Electrical works - Floor 24";"Auto-generated transaction seed data";1;"2025-07-18 09:00:00";"2025-11-22 18:00:00";1;1;24;4;59
99;52;2024-05-17;ISSUE;IS-2405-0006;NOS;0.00;59.01;352.00;18.00;20771.52;"Electrical works - Floor 28";"Auto-generated transaction seed data";1;"2024-05-17 09:00:00";"2025-11-22 18:00:00";1;1;28;4;48
100;10;2024-10-28;ISSUE;IS-2410-0004;BRASS;0.00;39.47;100.00;18.00;3947.00;"Site use - Floor 18";"Auto-generated transaction seed data";1;"2024-10-28 09:00:00";"2025-11-22 18:00:00";1;1;18;9;48
101;51;2024-09-29;GATE-OUT;GO-2409-0001;NOS;0.00;20.22;346.00;18.00;6996.12;"Electrical works - Floor 24";"Auto-generated transaction seed data";1;"2024-09-29 09:00:00";"2025-11-22 18:00:00";1;1;24;4;55
102;54;2024-03-04;ISSUE;IS-2403-0004;MTR;0.00;28.80;182.00;18.00;5241.60;"Electrical works - Floor 21";"Auto-generated transaction seed data";1;"2024-03-04 09:00:00";"2025-11-22 18:00:00";1;1;21;4;61
103;16;2024-09-09;RECEIPT;RC-2409-0004;NOS;78.73;0.00;136.00;18.00;10707.28;"BBM work - Floor 14";"Auto-generated transaction seed data";1;"2024-09-09 09:00:00";"2025-11-22 18:00:00";1;1;14;1;55
104;51;2024-06-30;RECEIPT;RC-2406-0001;NOS;89.30;0.00;346.00;18.00;30897.80;"Electrical works - Floor 25";"Auto-generated transaction seed data";1;"2024-06-30 09:00:00";"2025-11-22 18:00:00";1;1;25;4;48
105;52;2024-02-10;ISSUE;IS-2402-0003;NOS;0.00;39.05;352.00;18.00;13745.60;"Electrical works - Floor 28";"Auto-generated transaction seed data";1;"2024-02-10 09:00:00";"2025-11-22 18:00:00";1;1;28;4;59
106;53;2024-04-06;GATE-OUT;GO-2404-0001;MTR;0.00;40.43;179.00;18.00;7236.97;"Electrical works - Floor 28";"Auto-generated transaction seed data";1;"2024-04-06 09:00:00";"2025-11-22 18:00:00";1;1;28;4;62
107;55;2025-05-15;RECEIPT;RC-2505-0003;NOS;84.06;0.00;370.00;18.00;31102.20;"Electrical works - Floor 25";"Auto-generated transaction seed data";1;"2025-05-15 09:00:00";"2025-11-22 18:00:00";1;1;25;4;48
108;35;2024-03-02;RECEIPT;RC-2403-0001;MTR;85.32;0.00;125.00;18.00;10665.00;"Plumbing installation - Floor 15";"Auto-generated transaction seed data";1;"2024-03-02 09:00:00";"2025-11-22 18:00:00";1;1;15;5;54
109;55;2025-08-23;ISSUE;IS-2508-0003;NOS;0.00;22.31;370.00;18.00;8254.70;"Electrical works - Floor 15";"Auto-generated transaction seed data";1;"2025-08-23 09:00:00";"2025-11-22 18:00:00";1;1;15;4;56
110;10;2024-10-04;ISSUE;IS-2410-0005;BRASS;0.00;54.24;100.00;18.00;5424.00;"Site use - Floor 8";"Auto-generated transaction seed data";1;"2024-10-04 09:00:00";"2025-11-22 18:00:00";1;1;8;9;55
111;55;2024-09-05;RECEIPT;RC-2409-0005;NOS;71.01;0.00;370.00;18.00;26273.70;"Electrical works - Floor 27";"Auto-generated transaction seed data";1;"2024-09-05 09:00:00";"2025-11-22 18:00:00";1;1;27;4;59
112;54;2024-07-07;RECEIPT;RC-2407-0001;MTR;90.97;0.00;182.00;18.00;16556.54;"Electrical works - Floor 10";"Auto-generated transaction seed data";1;"2024-07-07 09:00:00";"2025-11-22 18:00:00";1;1;10;4;50
113;54;2025-08-22;RECEIPT;RC-2508-0001;MTR;42.45;0.00;182.00;18.00;7725.90;"Electrical works - Floor 12";"Auto-generated transaction seed data";1;"2025-08-22 09:00:00";"2025-11-22 18:00:00";1;1;12;4;49
114;53;2024-11-05;ISSUE;IS-2411-0001;MTR;0.00;21.36;179.00;18.00;3823.44;"Electrical works - Floor 30";"Auto-generated transaction seed data";1;"2024-11-05 09:00:00";"2025-11-22 18:00:00";1;1;30;4;54
115;53;2024-01-23;RECEIPT;RC-2401-0002;MTR;90.26;0.00;179.00;18.00;16156.54;"Electrical works - Floor 11";"Auto-generated transaction seed data";1;"2024-01-23 09:00:00";"2025-11-22 18:00:00";1;1;11;4;50
116;52;2024-12-07;ISSUE;IS-2412-0004;NOS;0.00;58.18;352.00;18.00;20479.36;"Electrical works - Floor 23";"Auto-generated transaction seed data";1;"2024-12-07 09:00:00";"2025-11-22 18:00:00";1;1;23;4;49
